%% Test graph #1

%% Nodes

n 189.39873417721518 329.61165789261605 6
n 188.2911392405063 242.23301711591702 7
n 189.39873417721518 166.99029866931508 8
n 192.7215189873418 89.32039575669371 9
n 192.7215189873418 4.368939446014108 10
n 347.7848101265823 329.61165789261605 11
n 340.03164556962025 247.08738604795585 12
n 343.3544303797468 173.05825983436364 13
n 338.9240506329114 86.8932112906743 14
n 342.246835443038 -4.126206185053853 15
n 493.98734177215186 173.05825983436364 16
n 42.08860759493671 166.99029866931508 0


%% Edges (arcs)


e 0 6 11
e 0 7 12
e 0 8 13
e 0 9 14
e 0 10 15
e 6 12 0
e 6 15 18
e 7 11 19
e 8 13 20
e 8 12 21
e 7 15 22
e 9 11 23
e 10 14 24
e 10 13 25
e 6 11 26
e 12 16 27
e 13 16 28
e 14 16 29
e 15 16 30
e 11 16 31

% End of graph
